Município;Dose;Total Doses Aplicadas
ADAMANTINA;UNICA;881
ADAMANTINA;ADICIONAL;25922
ADAMANTINA;2° DOSE;30366
ADAMANTINA;1° DOSE;31802
ADOLFO;UNICA;83
ADOLFO;ADICIONAL;4134
ADOLFO;2° DOSE;4132
ADOLFO;1° DOSE;4195
AGUAÍ;UNICA;1068
AGUAÍ;ADICIONAL;23378
AGUAÍ;2° DOSE;29160
AGUAÍ;1° DOSE;30674
ÁGUAS DA PRATA;UNICA;197
ÁGUAS DA PRATA;ADICIONAL;6025
ÁGUAS DA PRATA;2° DOSE;7000
ÁGUAS DA PRATA;1° DOSE;7185
ÁGUAS DE LINDÓIA;UNICA;488
ÁGUAS DE LINDÓIA;ADICIONAL;13034
ÁGUAS DE LINDÓIA;2° DOSE;16633
ÁGUAS DE LINDÓIA;1° DOSE;17597
ÁGUAS DE SANTA BÁRBARA;UNICA;140
ÁGUAS DE SANTA BÁRBARA;ADICIONAL;4144
ÁGUAS DE SANTA BÁRBARA;2° DOSE;5551
ÁGUAS DE SANTA BÁRBARA;1° DOSE;5939
ÁGUAS DE SÃO PEDRO;UNICA;65
ÁGUAS DE SÃO PEDRO;ADICIONAL;4334
ÁGUAS DE SÃO PEDRO;2° DOSE;3766
ÁGUAS DE SÃO PEDRO;1° DOSE;3811
AGUDOS;UNICA;881
AGUDOS;ADICIONAL;22398
AGUDOS;2° DOSE;32889
AGUDOS;1° DOSE;35440
ALAMBARI;UNICA;175
ALAMBARI;ADICIONAL;4137
ALAMBARI;2° DOSE;5007
ALAMBARI;1° DOSE;5215
ALFREDO MARCONDES;UNICA;86
ALFREDO MARCONDES;ADICIONAL;4225
ALFREDO MARCONDES;2° DOSE;4205
ALFREDO MARCONDES;1° DOSE;4252
ALTAIR;UNICA;116
ALTAIR;ADICIONAL;3116
ALTAIR;2° DOSE;3182
ALTAIR;1° DOSE;3220
ALTINÓPOLIS;UNICA;399
ALTINÓPOLIS;ADICIONAL;12890
ALTINÓPOLIS;2° DOSE;14715
ALTINÓPOLIS;1° DOSE;15212
ALTO ALEGRE;UNICA;101
ALTO ALEGRE;ADICIONAL;2880
ALTO ALEGRE;2° DOSE;3520
ALTO ALEGRE;1° DOSE;3633
ALUMÍNIO;UNICA;515
ALUMÍNIO;ADICIONAL;12567
ALUMÍNIO;2° DOSE;15359
ALUMÍNIO;1° DOSE;15751
ÁLVARES FLORENCE;UNICA;83
ÁLVARES FLORENCE;ADICIONAL;3247
ÁLVARES FLORENCE;2° DOSE;3614
ÁLVARES FLORENCE;1° DOSE;3680
ÁLVARES MACHADO;UNICA;614
ÁLVARES MACHADO;ADICIONAL;16658
ÁLVARES MACHADO;2° DOSE;20903
ÁLVARES MACHADO;1° DOSE;22098
ÁLVARO DE CARVALHO;UNICA;174
ÁLVARO DE CARVALHO;ADICIONAL;5095
ÁLVARO DE CARVALHO;2° DOSE;5759
ÁLVARO DE CARVALHO;1° DOSE;5873
ALVINLÂNDIA;UNICA;69
ALVINLÂNDIA;ADICIONAL;2145
ALVINLÂNDIA;2° DOSE;2641
ALVINLÂNDIA;1° DOSE;2721
AMERICANA;UNICA;6603
AMERICANA;ADICIONAL;136240
AMERICANA;2° DOSE;192540
AMERICANA;1° DOSE;207479
AMÉRICO BRASILIENSE;UNICA;1153
AMÉRICO BRASILIENSE;ADICIONAL;23933
AMÉRICO BRASILIENSE;2° DOSE;30234
AMÉRICO BRASILIENSE;1° DOSE;31684
AMÉRICO DE CAMPOS;UNICA;141
AMÉRICO DE CAMPOS;ADICIONAL;4918
AMÉRICO DE CAMPOS;2° DOSE;5184
AMÉRICO DE CAMPOS;1° DOSE;5285
AMPARO;UNICA;1789
AMPARO;ADICIONAL;51061
AMPARO;2° DOSE;62596
AMPARO;1° DOSE;65259
ANALÂNDIA;UNICA;133
ANALÂNDIA;ADICIONAL;2723
ANALÂNDIA;2° DOSE;3868
ANALÂNDIA;1° DOSE;4109
ANDRADINA;UNICA;1394
ANDRADINA;ADICIONAL;39149
ANDRADINA;2° DOSE;49113
ANDRADINA;1° DOSE;52001
ANGATUBA;UNICA;531
ANGATUBA;ADICIONAL;14413
ANGATUBA;2° DOSE;19874
ANGATUBA;1° DOSE;21473
ANHEMBI;UNICA;149
ANHEMBI;ADICIONAL;4344
ANHEMBI;2° DOSE;5435
ANHEMBI;1° DOSE;5829
ANHUMAS;UNICA;84
ANHUMAS;ADICIONAL;2536
ANHUMAS;2° DOSE;3578
ANHUMAS;1° DOSE;3628
APARECIDA;UNICA;971
APARECIDA;ADICIONAL;18870
APARECIDA;2° DOSE;28382
APARECIDA;1° DOSE;30603
APARECIDA D'OESTE;UNICA;82
APARECIDA D'OESTE;ADICIONAL;4001
APARECIDA D'OESTE;2° DOSE;4006
APARECIDA D'OESTE;1° DOSE;4078
APIAÍ;UNICA;552
APIAÍ;ADICIONAL;16568
APIAÍ;2° DOSE;20956
APIAÍ;1° DOSE;22449
ARAÇARIGUAMA;UNICA;593
ARAÇARIGUAMA;ADICIONAL;11904
ARAÇARIGUAMA;2° DOSE;18667
ARAÇARIGUAMA;1° DOSE;20115
ARAÇATUBA;UNICA;5078
ARAÇATUBA;ADICIONAL;126400
ARAÇATUBA;2° DOSE;169293
ARAÇATUBA;1° DOSE;179730
ARAÇOIABA DA SERRA;UNICA;836
ARAÇOIABA DA SERRA;ADICIONAL;25056
ARAÇOIABA DA SERRA;2° DOSE;28295
ARAÇOIABA DA SERRA;1° DOSE;29975
ARAMINA;UNICA;136
ARAMINA;ADICIONAL;4532
ARAMINA;2° DOSE;4888
ARAMINA;1° DOSE;4937
ARANDU;UNICA;166
ARANDU;ADICIONAL;5263
ARANDU;2° DOSE;5892
ARANDU;1° DOSE;6090
ARAPEÍ;UNICA;67
ARAPEÍ;ADICIONAL;1629
ARAPEÍ;2° DOSE;2216
ARAPEÍ;1° DOSE;2241
ARARAQUARA;UNICA;6487
ARARAQUARA;ADICIONAL;166537
ARARAQUARA;2° DOSE;208720
ARARAQUARA;1° DOSE;220077
ARARAS;UNICA;3865
ARARAS;ADICIONAL;92858
ARARAS;2° DOSE;112898
ARARAS;1° DOSE;118517
ARCO-ÍRIS;UNICA;34
ARCO-ÍRIS;ADICIONAL;1840
ARCO-ÍRIS;2° DOSE;1902
ARCO-ÍRIS;1° DOSE;1920
AREALVA;UNICA;195
AREALVA;ADICIONAL;6524
AREALVA;2° DOSE;7319
AREALVA;1° DOSE;7662
AREIAS;UNICA;72
AREIAS;ADICIONAL;2625
AREIAS;2° DOSE;3312
AREIAS;1° DOSE;3465
AREIÓPOLIS;UNICA;319
AREIÓPOLIS;ADICIONAL;6360
AREIÓPOLIS;2° DOSE;8416
AREIÓPOLIS;1° DOSE;8784
ARIRANHA;UNICA;262
ARIRANHA;ADICIONAL;6336
ARIRANHA;2° DOSE;7060
ARIRANHA;1° DOSE;7252
ARTUR NOGUEIRA;UNICA;1684
ARTUR NOGUEIRA;ADICIONAL;29828
ARTUR NOGUEIRA;2° DOSE;43931
ARTUR NOGUEIRA;1° DOSE;46266
ARUJÁ;UNICA;2341
ARUJÁ;ADICIONAL;52025
ARUJÁ;2° DOSE;74666
ARUJÁ;1° DOSE;78050
ASPÁSIA;UNICA;16
ASPÁSIA;ADICIONAL;1449
ASPÁSIA;2° DOSE;1709
ASPÁSIA;1° DOSE;1783
ASSIS;UNICA;2370
ASSIS;ADICIONAL;65798
ASSIS;2° DOSE;85117
ASSIS;1° DOSE;90623
ATIBAIA;UNICA;3615
ATIBAIA;ADICIONAL;109243
ATIBAIA;2° DOSE;132477
ATIBAIA;1° DOSE;141928
AURIFLAMA;UNICA;378
AURIFLAMA;ADICIONAL;9323
AURIFLAMA;2° DOSE;11499
AURIFLAMA;1° DOSE;12012
AVAÍ;UNICA;59
AVAÍ;ADICIONAL;4057
AVAÍ;2° DOSE;4686
AVAÍ;1° DOSE;4818
AVANHANDAVA;UNICA;231
AVANHANDAVA;ADICIONAL;7443
AVANHANDAVA;2° DOSE;10118
AVANHANDAVA;1° DOSE;10728
AVARÉ;UNICA;2200
AVARÉ;ADICIONAL;67676
AVARÉ;2° DOSE;80250
AVARÉ;1° DOSE;84964
BADY BASSITT;UNICA;411
BADY BASSITT;ADICIONAL;11834
BADY BASSITT;2° DOSE;18203
BADY BASSITT;1° DOSE;19015
BALBINOS;UNICA;60
BALBINOS;ADICIONAL;4511
BALBINOS;2° DOSE;4623
BALBINOS;1° DOSE;4721
BÁLSAMO;UNICA;250
BÁLSAMO;ADICIONAL;6866
BÁLSAMO;2° DOSE;8231
BÁLSAMO;1° DOSE;8279
BANANAL;UNICA;280
BANANAL;ADICIONAL;6425
BANANAL;2° DOSE;8719
BANANAL;1° DOSE;9371
BARÃO DE ANTONINA;UNICA;47
BARÃO DE ANTONINA;ADICIONAL;2822
BARÃO DE ANTONINA;2° DOSE;3218
BARÃO DE ANTONINA;1° DOSE;3317
BARBOSA;UNICA;121
BARBOSA;ADICIONAL;4357
BARBOSA;2° DOSE;5483
BARBOSA;1° DOSE;5918
BARIRI;UNICA;841
BARIRI;ADICIONAL;19349
BARIRI;2° DOSE;26181
BARIRI;1° DOSE;27796
BARRA BONITA;UNICA;984
BARRA BONITA;ADICIONAL;28864
BARRA BONITA;2° DOSE;31168
BARRA BONITA;1° DOSE;31658
BARRA DO CHAPÉU;UNICA;137
BARRA DO CHAPÉU;ADICIONAL;3674
BARRA DO CHAPÉU;2° DOSE;4885
BARRA DO CHAPÉU;1° DOSE;5034
BARRA DO TURVO;UNICA;115
BARRA DO TURVO;ADICIONAL;3465
BARRA DO TURVO;2° DOSE;6256
BARRA DO TURVO;1° DOSE;7013
BARRETOS;UNICA;3088
BARRETOS;ADICIONAL;89093
BARRETOS;2° DOSE;107456
BARRETOS;1° DOSE;114463
BARRINHA;UNICA;985
BARRINHA;ADICIONAL;18309
BARRINHA;2° DOSE;25985
BARRINHA;1° DOSE;27954
BARUERI;UNICA;6864
BARUERI;ADICIONAL;182331
BARUERI;2° DOSE;255056
BARUERI;1° DOSE;270928
BASTOS;UNICA;494
BASTOS;ADICIONAL;16695
BASTOS;2° DOSE;19765
BASTOS;1° DOSE;20447
BATATAIS;UNICA;1451
BATATAIS;ADICIONAL;50255
BATATAIS;2° DOSE;51805
BATATAIS;1° DOSE;54907
BAURU;UNICA;9336
BAURU;ADICIONAL;234933
BAURU;2° DOSE;320892
BAURU;1° DOSE;345022
BEBEDOURO;UNICA;1759
BEBEDOURO;ADICIONAL;52310
BEBEDOURO;2° DOSE;65784
BEBEDOURO;1° DOSE;69280
BENTO DE ABREU;UNICA;73
BENTO DE ABREU;ADICIONAL;2143
BENTO DE ABREU;2° DOSE;2296
BENTO DE ABREU;1° DOSE;2348
BERNARDINO DE CAMPOS;UNICA;216
BERNARDINO DE CAMPOS;ADICIONAL;9742
BERNARDINO DE CAMPOS;2° DOSE;10834
BERNARDINO DE CAMPOS;1° DOSE;11316
BERTIOGA;UNICA;1897
BERTIOGA;ADICIONAL;35148
BERTIOGA;2° DOSE;57570
BERTIOGA;1° DOSE;63766
BILAC;UNICA;202
BILAC;ADICIONAL;5742
BILAC;2° DOSE;6599
BILAC;1° DOSE;6865
BIRIGUI;UNICA;3560
BIRIGUI;ADICIONAL;72040
BIRIGUI;2° DOSE;97465
BIRIGUI;1° DOSE;104736
BIRITIBA MIRIM;UNICA;885
BIRITIBA MIRIM;ADICIONAL;16982
BIRITIBA MIRIM;2° DOSE;25721
BIRITIBA MIRIM;1° DOSE;27381
BOA ESPERANÇA DO SUL;UNICA;420
BOA ESPERANÇA DO SUL;ADICIONAL;9792
BOA ESPERANÇA DO SUL;2° DOSE;11762
BOA ESPERANÇA DO SUL;1° DOSE;12250
BOCAINA;UNICA;321
BOCAINA;ADICIONAL;8887
BOCAINA;2° DOSE;10000
BOCAINA;1° DOSE;10164
BOFETE;UNICA;300
BOFETE;ADICIONAL;7522
BOFETE;2° DOSE;9271
BOFETE;1° DOSE;9815
BOITUVA;UNICA;1870
BOITUVA;ADICIONAL;36587
BOITUVA;2° DOSE;50878
BOITUVA;1° DOSE;54044
BOM JESUS DOS PERDÕES;UNICA;748
BOM JESUS DOS PERDÕES;ADICIONAL;15029
BOM JESUS DOS PERDÕES;2° DOSE;20880
BOM JESUS DOS PERDÕES;1° DOSE;22360
BOM SUCESSO DE ITARARÉ;UNICA;79
BOM SUCESSO DE ITARARÉ;ADICIONAL;3003
BOM SUCESSO DE ITARARÉ;2° DOSE;3447
BOM SUCESSO DE ITARARÉ;1° DOSE;3529
BORÁ;UNICA;13
BORÁ;ADICIONAL;611
BORÁ;2° DOSE;873
BORÁ;1° DOSE;912
BORACÉIA;UNICA;110
BORACÉIA;ADICIONAL;2958
BORACÉIA;2° DOSE;4157
BORACÉIA;1° DOSE;4439
BORBOREMA;UNICA;413
BORBOREMA;ADICIONAL;10487
BORBOREMA;2° DOSE;13057
BORBOREMA;1° DOSE;13393
BOREBI;UNICA;51
BOREBI;ADICIONAL;1168
BOREBI;2° DOSE;2270
BOREBI;1° DOSE;2366
BOTUCATU;UNICA;11
BOTUCATU;ADICIONAL;141871
BOTUCATU;2° DOSE;144783
BOTUCATU;1° DOSE;151058
BRAGANÇA PAULISTA;UNICA;4815
BRAGANÇA PAULISTA;ADICIONAL;129641
BRAGANÇA PAULISTA;2° DOSE;155920
BRAGANÇA PAULISTA;1° DOSE;166315
BRAÚNA;UNICA;141
BRAÚNA;ADICIONAL;3217
BRAÚNA;2° DOSE;4587
BRAÚNA;1° DOSE;4867
BREJO ALEGRE;UNICA;74
BREJO ALEGRE;ADICIONAL;1734
BREJO ALEGRE;2° DOSE;2315
BREJO ALEGRE;1° DOSE;2418
BRODOWSKI;UNICA;660
BRODOWSKI;ADICIONAL;17188
BRODOWSKI;2° DOSE;21294
BRODOWSKI;1° DOSE;22683
BROTAS;UNICA;623
BROTAS;ADICIONAL;15452
BROTAS;2° DOSE;20618
BROTAS;1° DOSE;21750
BURI;UNICA;508
